AccountSkuId,Friendly,,,,,,,,,
vmsassociates:VISIOCLIENT,Visio Pro Online,,,,,,,,,
vmsassociates:STREAM,Microsoft Stream Trial,,,,,,,,,
vmsassociates:INTUNE_A_D,Microsoft Intune Device,,,,,,,,,
vmsassociates:TOPIC_EXPERIENCES,Viva Topics,,,,,,,,,
vmsassociates:ENTERPRISEPREMIUM,Office 365 E5,,,,,,,,,
vmsassociates:POWERAPPS_INDIVIDUAL_USER,POWERAPPS AND LOGIC FLOWS,,,,,,,,,
vmsassociates:FLOW_PER_USER,Power Automate per user plan,,,,,,,,,
vmsassociates:POWER_BI_PRO,Power BI Pro,,,,,,,,,
vmsassociates:DYN365_TEAM_MEMBERS,DYNAMICS 365 TEAM MEMBERS,,,,,,,,,
vmsassociates:WINDOWS_STORE,WINDOWS STORE FOR BUSINESS,,,,,,,,,
vmsassociates:FLOW_FREE,MICROSOFT FLOW FREE,,,,,,,,,
vmsassociates:D365_MARKETING_USER,,,,,,,,,,
vmsassociates:MCOEV,MICROSOFT 365 PHONE SYSTEM,,,,,,,,,
vmsassociates:MCOPSTN1,SKYPE FOR BUSINESS PSTN DOMESTIC CALLING,,,,,,,,,
vmsassociates:PROJECTPREMIUM,PROJECT ONLINE PREMIUM,,,,,,,,,
vmsassociates:PHONESYSTEM_VIRTUALUSER,MICROSOFT 365 PHONE SYSTEM - VIRTUAL USER,,,,,,,,,
vmsassociates:CCIBOTS_PRIVPREV_VIRAL,Power Virtual Agents Viral Trial,,,,,,,,,
vmsassociates:PBI_PREMIUM_P1_ADDON,Power BI Premium P1,,,,,,,,,
vmsassociates:FORMS_PRO,Dynamics 365 Customer Voice Trial,,,,,,,,,
vmsassociates:POWERAPPS_VIRAL,Microsoft Power Apps Plan 2 Trial,,,,,,,,,
vmsassociates:EXCHANGESTANDARD,Exchange Online (Plan 1),,,,,,,,,
vmsassociates:DYN365_ENTERPRISE_P1_IW,DYNAMICS 365 P1 TRIAL FOR INFORMATION WORKERS,,,,,,,,,
vmsassociates:DYN365_MARKETING_APP_ATTACH,,,,,,,,,,
vmsassociates:Intelligent_Content_Services,,,,,,,,,,
vmsassociates:DYN365_MARKETING_SANDBOX_APPLICATION_ADDON,,,,,,,,,,
vmsassociates:MEETING_ROOM,,,,,,,,,,
vmsassociates:POWER_BI_STANDARD,Power BI (free),,,,,,,,,
vmsassociates:INTUNE_A,INTUNE,,,,,,,,,
vmsassociates:OFFICESUBSCRIPTION,MICROSOFT 365 APPS FOR ENTERPRISE,,,,,,,,,
vmsassociates:MCOPSTNC,COMMUNICATIONS CREDITS,,,,,,,,,RC[12]
vmsassociates:PBI_PREMIUM_PER_USER,Power BI Premium Per User,,,,,,,,,
vmsassociates:SPE_E3_RPA1,Microsoft 365 E3 - Unattended License,,,,,,,,,
vmsassociates:SPE_E5,Microsoft 365 E5,,,,,,,,,
vmsassociates:POWERAPPS_PER_USER,Power Apps per user plan,,,,,,,,,
vmsassociates:VIVA_LEARNING,,,,,,,,,,
vmsassociates:MCOMEETADV,Microsoft 365 Audio Conferencing,,,,,,,,,
vmsassociates:SHAREPOINTSTANDARD,SHAREPOINT ONLINE (PLAN 1),,,,,,,,,
vmsassociates:AAD_PREMIUM,AZURE ACTIVE DIRECTORY PREMIUM P1,,,,,,,,,
vmsassociates:ADV_COMMS,Advanced Communications,,,,,,,,,
vmsassociates:DYN365_MARKETING_CONTACT_ADDON_T5,,,,,,,,,,
vmsassociates:SPE_E3,MICROSOFT 365 E3,,,,,,,,,
vmsassociates:VISIOONLINE_PLAN1,VISIO ONLINE PLAN 1,,,,,,,,,
vmsassociates:PROJECTPROFESSIONAL,Project Plan 3,,,,,,,,,
vmsassociates:EXCHANGEENTERPRISE,EXCHANGE ONLINE (PLAN 2),,,,,,,,,
vmsassociates:SPE_F1,Microsoft 365 F3,,,,,,,,,
vmsassociates:WORKPLACE_ANALYTICS,Microsoft Workplace Analytics,,,,,,,,,
vmsassociates:DYN365_ENTERPRISE_SALES,DYNAMICS 365 FOR SALES ENTERPRISE EDITION,,,,,,,,,
vmsassociates:RIGHTSMANAGEMENT_ADHOC,Rights Management Adhoc,,,,,,,,,
vmsassociates:O365_BUSINESS,MICROSOFT 365 APPS FOR BUSINESS,,,,,,,,,
